sample_ID	depth	top_depth	bottom_depth	lab	N3_LDEO	dN3_LDEO	CPX_LDEO	N4_LDEO	dN4_LDEO	N3_BGC	dN3_BGC	CPX_BGC	N4_BGC	dN4_BGC	N10_LDEO	dN10_LDEO
LABCO-01	24.5	24	25	LDEO	3.31E+08	6.18E+06	5.25E+09	5.90E+13	8.44E+11	NaN	NaN	NaN	NaN	NaN	5.21E+06	1.23E+05
LABCO-02	34.5	34	35	LDEO	2.66E+08	5.24E+06	5.25E+09	6.58E+13	9.36E+11	NaN	NaN	NaN	NaN	NaN	4.39E+06	9.73E+04
LABCO-03	49.5	49	50	LDEO	2.04E+08	5.26E+06	5.10E+09	7.45E+13	2.41E+12	NaN	NaN	NaN	NaN	NaN	3.28E+06	9.41E+04
LABCO-04	59.5	59	60	LDEO	1.73E+08	4.37E+06	5.10E+09	5.93E+13	2.08E+12	NaN	NaN	NaN	NaN	NaN	2.60E+06	7.17E+04
LABCO-05	84	83	85	LDEO	9.96E+07	2.34E+06	5.25E+09	5.56E+13	7.95E+11	NaN	NaN	NaN	NaN	NaN	1.57E+06	5.53E+04
LABCO-06	104	103	105	LDEO	6.74E+07	2.07E+06	5.10E+09	3.85E+13	2.04E+12	NaN	NaN	NaN	NaN	NaN	9.01E+05	4.41E+04
LABCO-07	125	124	126	LDEO	4.55E+07	7.23E+05	5.29E+09	4.70E+13	4.08E+11	NaN	NaN	NaN	NaN	NaN	7.78E+05	4.24E+04
LABCO-08	144	143	145	LDEO	4.11E+07	1.47E+06	5.10E+09	4.81E+13	2.11E+12	NaN	NaN	NaN	NaN	NaN	5.25E+05	3.48E+04
LABCO-09	164	163	165	LDEO	3.00E+07	1.24E+06	5.10E+09	4.12E+13	2.01E+12	NaN	NaN	NaN	NaN	NaN	4.33E+05	3.86E+04
LABCO-0-1-Px	0.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	4.52E+08	7.81E+06	4.78E+09	1.55E+14	1.35E+12	NaN	NaN
LABCO-0-1-Px	0.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	4.45E+08	5.08E+06	4.78E+09	1.60E+14	4.64E+11	NaN	NaN
LABCO-0-1-Px	0.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	4.64E+08	6.08E+06	4.78E+09	1.99E+14	5.78E+11	NaN	NaN
LABCO-1-2-Px	1.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	4.41E+08	7.45E+06	4.78E+09	2.00E+14	1.52E+12	NaN	NaN
LABCO-1-2-Px	1.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	4.45E+08	5.30E+06	4.78E+09	2.22E+14	6.53E+11	NaN	NaN
LABCO-4-5-Px	4.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	4.20E+08	7.31E+06	4.78E+09	2.06E+14	1.59E+12	NaN	NaN
LABCO-4-5-Px	4.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	4.23E+08	5.49E+06	4.78E+09	2.31E+14	9.02E+11	NaN	NaN
LABCO-4-5-Px	4.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	4.20E+08	5.72E+06	4.78E+09	2.10E+14	6.16E+11	NaN	NaN
LABCO-9-10-Px	9.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	3.86E+08	6.83E+06	4.78E+09	1.96E+14	1.49E+12	NaN	NaN
LABCO-9-10-Px	9.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	3.86E+08	5.19E+06	4.78E+09	1.89E+14	5.54E+11	NaN	NaN
LABCO-13-14-Px	13.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	3.46E+08	6.27E+06	4.78E+09	2.01E+14	1.54E+12	NaN	NaN
LABCO-13-14-Px	13.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	3.46E+08	5.19E+06	4.78E+09	1.85E+14	5.39E+11	NaN	NaN
LABCO-13-14-Px	13.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	3.54E+08	4.92E+06	4.78E+09	2.07E+14	6.03E+11	NaN	NaN
LABCO-20-21-Px	18	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	3.26E+08	5.66E+06	4.78E+09	1.89E+14	1.25E+12	NaN	NaN
LABCO-20-21-Px	18	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	3.14E+08	5.65E+06	4.78E+09	2.03E+14	1.67E+12	NaN	NaN
LABCO-30-31-Px	28	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	2.60E+08	4.10E+06	4.78E+09	2.25E+14	1.50E+12	NaN	NaN
LABCO-30-31-Px	28	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	2.65E+08	4.84E+06	4.78E+09	2.33E+14	1.80E+12	NaN	NaN
LABCO-55-56-Px	53	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	1.62E+08	3.13E+06	4.78E+09	1.74E+14	1.33E+12	NaN	NaN
LABCO-55-56-Px	53	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	1.73E+08	2.87E+06	4.78E+09	1.77E+14	5.19E+11	NaN	NaN
LABCO-75-77-Px	73.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	1.11E+08	2.33E+06	4.78E+09	2.34E+14	1.80E+12	NaN	NaN
LABCO-75-77-Px	73.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	1.16E+08	2.61E+06	4.78E+09	2.38E+14	7.03E+11	NaN	NaN
LABCO-75-77-Px	73.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	1.17E+08	2.18E+06	4.78E+09	2.11E+14	6.09E+11	NaN	NaN
LABCO-95-97-Px	93.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	8.72E+07	2.09E+06	4.78E+09	2.25E+14	1.74E+12	NaN	NaN
LABCO-95-97-Px	93.5	NaN	NaN	BGC	NaN	NaN	NaN	NaN	NaN	8.20E+07	1.96E+06	4.78E+09	2.22E+14	6.50E+11	NaN	NaN
